acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Morgan Freeman,
                            Ashley Judd",37 000 000 $,,  02/11/2011,"
                                  1h 53min                            ",78953,,Film familial,Etats-Unis,,,,245,"
                Warner Bros.","
                            L'Incroyable histoire de Winter le dauphin",https://www.jpbox-office.com/fichfilm.php?id=12267&view=2
"
                            Liev Schreiber,
                            Paul Dano",30 000 000 $,Danny Elfman,  23/09/2009,"
                                  1h 50min                            ",78441,,Comédie,Etats-Unis,,"
                                    Ang Lee",,147,"
                Universal","
                            Hôtel Woodstock",https://www.jpbox-office.com/fichfilm.php?id=10796&view=2
"
                            Gwyneth Paltrow,
                            Aaron Eckhart",25 000 000 $,,  04/09/2002,"
                                  1h 42min                            ",79029,,Romance,Etats-Unis,,"
                                    Neil LaBute",,252,"
                Warner Bros.","
                            Possession (2002)",https://www.jpbox-office.com/fichfilm.php?id=1915&view=2
,80 000 000 $,,  20/12/2006,"
                                  2h 15min                            ",79041,,Aventure - Action,Etats-Unis,,"
                                    Andrew Davis",,,"
                SND","
                            Coast Guards",https://www.jpbox-office.com/fichfilm.php?id=484&view=2
"
                            Kevin Costner,
                            Ashton Kutcher",80 000 000 $,,  20/12/2006,"
                                  2h 15min                            ",79041,,Aventure - Action,Etats-Unis,,"
                                    Andrew Davis",,,"
                SND","
                            Coast Guards",https://www.jpbox-office.com/fichfilm.php?id=484&view=2
,40 000 000 $,,  23/03/1994,"
                                  2h 20min                            ",79535,,Drame,Etats-Unis,,,,138,"
                AMLF","
                            La Maison aux esprits",https://www.jpbox-office.com/fichfilm.php?id=4335&view=2
"
                            Glenn Close,
                            Jeremy Irons,
                            Meryl Streep,
                            Antonio Banderas,
                            Winona Ryder",40 000 000 $,Hans Zimmer,  23/03/1994,"
                                  2h 20min                            ",79535,,Drame,Etats-Unis,,,,138,"
                AMLF","
                            La Maison aux esprits",https://www.jpbox-office.com/fichfilm.php?id=4335&view=2
,24 000 000 $,,  30/08/2000,"
                                  1h 52min                            ",80705,,Romance,Etats-Unis,,"
                                    Neil LaBute",,212,"
                Lolistar","
                            Nurse Betty",https://www.jpbox-office.com/fichfilm.php?id=2548&view=2
"
                            John Goodman",,,  03/04/2019,"
                                  1h 49min                            ",79311,,Science Fiction,Etats-Unis,,,,279,"
                Metropolitan","
                            Captive State",https://www.jpbox-office.com/fichfilm.php?id=18532&view=2
"
                            Chris Rock,
                            Renee Zellweger,
                            Aaron Eckhart,
                            Morgan Freeman,
                            Greg Kinnear",24 000 000 $,,  30/08/2000,"
                                  1h 52min                            ",80705,,Romance,Etats-Unis,,"
                                    Neil LaBute",,212,"
                Lolistar","
                            Nurse Betty",https://www.jpbox-office.com/fichfilm.php?id=2548&view=2
"
                            John Goodman",25 000 000 $,,  03/04/2019,"
                                  1h 49min                            ",79311,,Science Fiction,Etats-Unis,,,,279,"
                Metropolitan","
                            Captive State",https://www.jpbox-office.com/fichfilm.php?id=18532&view=2
"
                            Bérénice Bejo,
                            Gérard Jugnot",11 490 000 €,,  30/05/2018,"
                                  1h 40min                            ",80690,,Comédie,France,,,,359,"
                Sony Pictures","
                            L'Extraordinaire voyage du Fakir",https://www.jpbox-office.com/fichfilm.php?id=17956&view=2
"
                            Ryan Reynolds",,,  09/07/2003,"
                                  1h 32min                            ",79533,Franchise,Comédie,Etats-Unis,,,,209,"
                Metropolitan","
                            American Party - Van Wilder, relations publiques",https://www.jpbox-office.com/fichfilm.php?id=1882&view=2
,2 900 626 €,,  17/06/2015,"
                                  1h 32min                            ",79429,,Drame,France,,"
                                    Guillaume Nicloux",,191,"
                Le Pacte","
                            Valley of Love",https://www.jpbox-office.com/fichfilm.php?id=15271&view=2
"
                            Oliver Gourmet",,,  28/06/2023,"
                                  1h 39min                            ",79426,,Aventure - Action,France,,,,197,"
                Studiocanal","
                            Farang",https://www.jpbox-office.com/fichfilm.php?id=22993&view=2
"
                            Oliver Gourmet",? €,,  28/06/2023,"
                                  1h 39min                            ",79426,,Aventure - Action,France,,,,197,"
                Studiocanal","
                            Farang",https://www.jpbox-office.com/fichfilm.php?id=22993&view=2
"
                            Gérard Depardieu,
                            Isabelle Huppert",2 900 626 €,,  17/06/2015,"
                                  1h 32min                            ",79429,,Drame,France,,"
                                    Guillaume Nicloux",,191,"
                Le Pacte","
                            Valley of Love",https://www.jpbox-office.com/fichfilm.php?id=15271&view=2
"
                            Ryan Reynolds",6 000 000 $,,  09/07/2003,"
                                  1h 32min                            ",79533,Franchise,Comédie,Etats-Unis,,,,209,"
                Metropolitan","
                            American Party - Van Wilder, relations publiques",https://www.jpbox-office.com/fichfilm.php?id=1882&view=2
"
                            Antonio Banderas,
                            Jennifer Lopez",,,  25/04/2007,"
                                  1h 52min                            ",79422,,Thriller,Etats-Unis,,,,170,"
                SND","
                            Les Oubliées de Juarez",https://www.jpbox-office.com/fichfilm.php?id=87&view=2
"
                            Hugh Jackman,
                            Ewan McGregor,
                            Charlotte Rampling",,,  03/09/2008,"
                                  1h 48min                            ",79737,,Thriller,Etats-Unis,,,,182,"
                SND","
                            Manipulation",https://www.jpbox-office.com/fichfilm.php?id=10086&view=2
"
                            Antonio Banderas,
                            Jennifer Lopez",? $,,  25/04/2007,"
                                  1h 52min                            ",79422,,Thriller,Etats-Unis,,,,170,"
                SND","
                            Les Oubliées de Juarez",https://www.jpbox-office.com/fichfilm.php?id=87&view=2
"
                            Hugh Jackman,
                            Ewan McGregor,
                            Charlotte Rampling",25 000 000 $,,  03/09/2008,"
                                  1h 48min                            ",79737,,Thriller,Etats-Unis,,,,182,"
                SND","
                            Manipulation",https://www.jpbox-office.com/fichfilm.php?id=10086&view=2
"
                            Jamie Lee Curtis",,,  30/10/2002,"
                                  1h 29min                            ",79754,Franchise,Horreur,Etats-Unis,,,,,"
                TFM Distribution","
                            Halloween: Resurrection",https://www.jpbox-office.com/fichfilm.php?id=1920&view=2
"
                            Jamie Lee Curtis",15 000 000 $,,  30/10/2002,"
                                  1h 29min                            ",79754,Franchise,Horreur,Etats-Unis,,,,,"
                TFM Distribution","
                            Halloween: Resurrection",https://www.jpbox-office.com/fichfilm.php?id=1920&view=2
"
                            Oliver Gourmet",,,  23/10/2002,"
                                  1h 43min                            ",79989,,Drame,Belgique,,"
                                    - Dardenne (frères)",,107,"
                Diaphana","
                            Le Fils",https://www.jpbox-office.com/fichfilm.php?id=1872&view=2
"
                            Oliver Gourmet",? $,,  23/10/2002,"
                                  1h 43min                            ",79989,,Drame,Belgique,,"
                                    - Dardenne (frères)",,107,"
                Diaphana","
                            Le Fils",https://www.jpbox-office.com/fichfilm.php?id=1872&view=2
,50 000 000 $,,  15/05/2016,"
                                  1h 55min                            ",80135,,Thriller,Etats-Unis,,"
                                    Shane Black",,350,"
                EuropaCorp","
                            The Nice Guys",https://www.jpbox-office.com/fichfilm.php?id=15648&view=2
,3 865 997 €,,  05/08/2009,"
                                  1h 40min                            ",80114,,Drame,France,,,,170,"
                Studiocanal","
                            Joueuse",https://www.jpbox-office.com/fichfilm.php?id=10848&view=2
"
                            Sandrine Kiberlain,
                            Vincent Lacoste",,,  21/12/2022,"
                                  1h 41min                            ",80190,,Comédie,France,,,,275,"
                Diaphana","
                            Le Parfum vert",https://www.jpbox-office.com/fichfilm.php?id=22519&view=2
,? €,,  04/01/2017,"
                                  1h 45min                            ",80237,,Comédie dramatique,France,,,,187,"
                Studiocanal","
                            Primaire",https://www.jpbox-office.com/fichfilm.php?id=16615&view=2
"
                            Sandrine Bonnaire,
                            Kevin Kline,
                            Alice Pol",3 865 997 €,,  05/08/2009,"
                                  1h 40min                            ",80114,,Drame,France,,,,170,"
                Studiocanal","
                            Joueuse",https://www.jpbox-office.com/fichfilm.php?id=10848&view=2
"
                            Vincent Elbaz,
                            Laure Calamy",? €,,  04/01/2017,"
                                  1h 45min                            ",80237,,Comédie dramatique,France,,,,187,"
                Studiocanal","
                            Primaire",https://www.jpbox-office.com/fichfilm.php?id=16615&view=2
"
                            Sandrine Kiberlain,
                            Vincent Lacoste",206774,,  21/12/2022,"
                                  1h 41min                            ",80190,,Comédie,France,,,,275,"
                Diaphana","
                            Le Parfum vert",https://www.jpbox-office.com/fichfilm.php?id=22519&view=2
"
                            Ryan Gosling,
                            Russell Crowe,
                            Kim Basinger",50 000 000 $,,  15/05/2016,"
                                  1h 55min                            ",80135,,Thriller,Etats-Unis,Joel Silver,"
                                    Shane Black",,350,"
                EuropaCorp","
                            The Nice Guys",https://www.jpbox-office.com/fichfilm.php?id=15648&view=2
"
                            Niels Arestrup",,,  25/01/2023,"
                                  1h 50min                            ",80541,,Comédie dramatique,France,,,,282,"
                Le Pacte","
                            Divertimento",https://www.jpbox-office.com/fichfilm.php?id=22639&view=2
"
                            Christopher Lloyd",,,  02/06/2021,"
                                  1h 32min                            ",80440,,Aventure - Action,Etats-Unis,,,,360,"
                Universal","
                            Nobody",https://www.jpbox-office.com/fichfilm.php?id=21036&view=2
"
                            Shia LaBeouf",,,  13/08/2003,"
                                  1h 25min                            ",80386,,Comédie,Etats-Unis,,,,250,"
                Metropolitan","
                            Dumb and Dumberer:Quand Harry rencontra Llyod",https://www.jpbox-office.com/fichfilm.php?id=1578&view=2
"
                            Alison Lohman",,,  23/08/2006,"
                                  1h 56min                            ",80524,,Animation,Japon,,"
                                    Hayao Miyazaki",,,"
                Walt Disney Pictures","
                            Nausicaä de la vallée du vent",https://www.jpbox-office.com/fichfilm.php?id=6693&view=2
"
                            Shia LaBeouf",30 000 000 $,,  13/08/2003,"
                                  1h 25min                            ",80386,,Comédie,Etats-Unis,,,,250,"
                Metropolitan","
                            Dumb and Dumberer:Quand Harry rencontra Llyod",https://www.jpbox-office.com/fichfilm.php?id=1578&view=2
"
                            Alison Lohman",? $,,  23/08/2006,"
                                  1h 56min                            ",80524,,Animation,Japon,,"
                                    Hayao Miyazaki",,,"
                Walt Disney Pictures","
                            Nausicaä de la vallée du vent",https://www.jpbox-office.com/fichfilm.php?id=6693&view=2
"
                            Niels Arestrup",4 400 000 €,,  25/01/2023,"
                                  1h 50min                            ",80541,,Comédie dramatique,France,,,,282,"
                Le Pacte","
                            Divertimento",https://www.jpbox-office.com/fichfilm.php?id=22639&view=2
"
                            Christopher Lloyd",16 000 000 $,,  02/06/2021,"
                                  1h 32min                            ",80440,,Aventure - Action,Etats-Unis,,,,360,"
                Universal","
                            Nobody",https://www.jpbox-office.com/fichfilm.php?id=21036&view=2
,3 270 771 €,,  12/01/2011,"
                                  1h 42min                            ",80320,,Comédie,France,,,,163,"
                Diaphana","
                            Poupoupidou",https://www.jpbox-office.com/fichfilm.php?id=11811&view=2
"
                            Jean-Paul Rouve",3 270 771 €,,  12/01/2011,"
                                  1h 42min                            ",80320,,Comédie,France,,,,163,"
                Diaphana","
                            Poupoupidou",https://www.jpbox-office.com/fichfilm.php?id=11811&view=2
,52 000 000 $,,  15/03/2000,"
                                  1h 57min                            ",80668,,Comédie,Etats-Unis,,"
                                    Milos Forman",,-,"
                Warner Bros.","
                            Man on the Moon",https://www.jpbox-office.com/fichfilm.php?id=2837&view=2
,41 000 000 $,,  24/12/2003,"
                                  1h 38min                            ",80685,,Aventure - Action,Etats-Unis,,,,200,"
                SND","
                            Le Médaillon",https://www.jpbox-office.com/fichfilm.php?id=1557&view=2
"
                            Jim Carrey,
                            Paul Giamatti,
                            Danny DeVito,
                            Christopher Lloyd",52 000 000 $,,  15/03/2000,"
                                  1h 57min                            ",80668,,Comédie,Etats-Unis,,"
                                    Milos Forman",,-,"
                Warner Bros.","
                            Man on the Moon",https://www.jpbox-office.com/fichfilm.php?id=2837&view=2
"
                            Jackie Chan",41 000 000 $,,  24/12/2003,"
                                  1h 38min                            ",80685,,Aventure - Action,Etats-Unis,,,,200,"
                SND","
                            Le Médaillon",https://www.jpbox-office.com/fichfilm.php?id=1557&view=2
,3 412 357 €,,  13/01/2016,"
                                  1h 35min                            ",81813,,Comédie dramatique,France,,,Remake,251,"
                Le Pacte","
                            Et ta soeur",https://www.jpbox-office.com/fichfilm.php?id=15644&view=2
"
                            Virginie Efira,
                            Géraldine Nakache",3 412 357 €,,  13/01/2016,"
                                  1h 35min                            ",81813,,Comédie dramatique,France,,,Remake,251,"
                Le Pacte","
                            Et ta soeur",https://www.jpbox-office.com/fichfilm.php?id=15644&view=2
,? $,,  02/04/2003,"
                                  1h 28min                            ",80556,,Comédie,Etats-Unis,,"
                                    Dennis Dugan",,224,"
                Columbia","
                            National Security",https://www.jpbox-office.com/fichfilm.php?id=1562&view=2
"
                            Martin Lawrence",? $,,  02/04/2003,"
                                  1h 28min                            ",80556,,Comédie,Etats-Unis,,"
                                    Dennis Dugan",,224,"
                Columbia","
                            National Security",https://www.jpbox-office.com/fichfilm.php?id=1562&view=2
,? $,,  02/03/2022,"
                                  1h 38min                            ",80551,,Drame,Grande-Bretagne,,"
                                    Kenneth Branagh",,209,"
                Universal","
                            Belfast",https://www.jpbox-office.com/fichfilm.php?id=21473&view=2
"
                            Judi Dench",? $,,  02/03/2022,"
                                  1h 38min                            ",80551,,Drame,Grande-Bretagne,,"
                                    Kenneth Branagh",,209,"
                Universal","
                            Belfast",https://www.jpbox-office.com/fichfilm.php?id=21473&view=2
"
                            Paul Dano",,,  29/12/2004,"
                                  1h 50min                            ",80626,,Comédie,Etats-Unis,,,,149,"
                UFD","
                            Girl Next Door",https://www.jpbox-office.com/fichfilm.php?id=1220&view=2
"
                            Paul Dano",? $,,  29/12/2004,"
                                  1h 50min                            ",80626,,Comédie,Etats-Unis,,,,149,"
                UFD","
                            Girl Next Door",https://www.jpbox-office.com/fichfilm.php?id=1220&view=2
,40 000 000 $,,  05/05/1999,"
                                  1h 47min                            ",80986,,Drame,Etats-Unis,,,,99,"
                Columbia","
                            Aussi profond que l'océan",https://www.jpbox-office.com/fichfilm.php?id=2816&view=2
"
                            Michelle Pfeiffer,
                            Whoopi Goldberg",40 000 000 $,,  05/05/1999,"
                                  1h 47min                            ",80986,,Drame,Etats-Unis,,,,99,"
                Columbia","
                            Aussi profond que l'océan",https://www.jpbox-office.com/fichfilm.php?id=2816&view=2
"
                            Jared Leto,
                            Diane Kruger",,,  13/01/2010,"
                                  2h 17min                            ",81237,,Science Fiction,France,,,,150,"
                Pathé","
                            Mr. Nobody",https://www.jpbox-office.com/fichfilm.php?id=11102&view=2
"
                            Jared Leto,
                            Diane Kruger",33 029 545 €,,  13/01/2010,"
                                  2h 17min                            ",81237,,Science Fiction,France,,,,150,"
                Pathé","
                            Mr. Nobody",https://www.jpbox-office.com/fichfilm.php?id=11102&view=2
"
                            Gael Garcia Bernal",,,  04/01/2017,"
                                  1h 47min                            ",81313,,Drame,Chili,,,,99,"
                Wild Bunch","
                            Neruda",https://www.jpbox-office.com/fichfilm.php?id=16497&view=2
"
                            Gael Garcia Bernal",3 693 829 €,,  04/01/2017,"
                                  1h 47min                            ",81313,,Drame,Chili,,,,99,"
                Wild Bunch","
                            Neruda",https://www.jpbox-office.com/fichfilm.php?id=16497&view=2
,? $,,  21/11/2012,"
                                  2h 17min                            ",81405,,Drame,Danemark,,,,110,"
                Jour2Fête","
                            Royal Affair",https://www.jpbox-office.com/fichfilm.php?id=13137&view=2
,30 000 000 $,,  17/08/2005,"
                                  2h 07min                            ",81541,,Comédie,Etats-Unis,,,,,"
                UIP","
                            Coach Carter",https://www.jpbox-office.com/fichfilm.php?id=868&view=2
"
                            Mads Mikkelsen",? $,,  21/11/2012,"
                                  2h 17min                            ",81405,,Drame,Danemark,,,,110,"
                Jour2Fête","
                            Royal Affair",https://www.jpbox-office.com/fichfilm.php?id=13137&view=2
"
                            Gerard Butler,
                            Minnie Driver",,,  12/01/2005,"
                                  2h 20min                            ",81562,,Musical,Etats-Unis,,"
                                    Joel Schumacher",,317,"
                Metropolitan","
                            Le Fantôme de l'Opéra",https://www.jpbox-office.com/fichfilm.php?id=1232&view=2
"
                            Gerard Butler,
                            Minnie Driver",70 000 000 $,,  12/01/2005,"
                                  2h 20min                            ",81562,,Musical,Etats-Unis,,"
                                    Joel Schumacher",,317,"
                Metropolitan","
                            Le Fantôme de l'Opéra",https://www.jpbox-office.com/fichfilm.php?id=1232&view=2
"
                            Samuel L. Jackson,
                            Channing Tatum",30 000 000 $,,  17/08/2005,"
                                  2h 07min                            ",81541,,Comédie,Etats-Unis,,,,,"
                UIP","
                            Coach Carter",https://www.jpbox-office.com/fichfilm.php?id=868&view=2
"
                            Julia Roberts,
                            Owen Wilson",,,  20/12/2017,"
                                  1h 53min                            ",82140,,Drame,Etats-Unis,,,,230,"
                Metropolitan","
                            Wonder",https://www.jpbox-office.com/fichfilm.php?id=17510&view=2
"
                            Chadwick Boseman,
                            Viola Davis",,Thomas Newman,  24/09/2014,"
                                  2h 18min                            ",81926,,Musical,Etats-Unis,Brian Grazer,,,350,"
                Universal","
                            Get On Up",https://www.jpbox-office.com/fichfilm.php?id=14422&view=2
"
                            Julia Roberts,
                            Owen Wilson",20 000 000 $,,  20/12/2017,"
                                  1h 53min                            ",82140,,Drame,Etats-Unis,,,,230,"
                Metropolitan","
                            Wonder",https://www.jpbox-office.com/fichfilm.php?id=17510&view=2
"
                            Chadwick Boseman,
                            Viola Davis",55 000 000 $,Thomas Newman,  24/09/2014,"
                                  2h 18min                            ",81926,,Musical,Etats-Unis,Brian Grazer,,,350,"
                Universal","
                            Get On Up",https://www.jpbox-office.com/fichfilm.php?id=14422&view=2
,,,  03/11/2021,"
                                  1h 46min                            ",81883,,Comédie dramatique,France,,"
                                    Jacques Audiard",,229,"
                Memento Films","
                            Les Olympiades",https://www.jpbox-office.com/fichfilm.php?id=21243&view=2
,5 440 000 €,,  03/11/2021,"
                                  1h 46min                            ",81883,,Comédie dramatique,France,,"
                                    Jacques Audiard",,229,"
                Memento Films","
                            Les Olympiades",https://www.jpbox-office.com/fichfilm.php?id=21243&view=2
"
                            Robert Downey Jr,
                            Robert Duvall,
                            Billy Bob Thornton",,Thomas Newman,  22/10/2014,"
                                  2h 21min                            ",82344,,Comédie dramatique,Etats-Unis,,,,183,"
                Warner Bros.","
                            Le Juge",https://www.jpbox-office.com/fichfilm.php?id=14152&view=2
"
                            Robert Downey Jr,
                            Robert Duvall,
                            Billy Bob Thornton",50 000 000 $,Thomas Newman,  22/10/2014,"
                                  2h 21min                            ",82344,,Comédie dramatique,Etats-Unis,,,,183,"
                Warner Bros.","
                            Le Juge",https://www.jpbox-office.com/fichfilm.php?id=14152&view=2
,? $,,  27/02/2013,"
                                  1h 35min                            ",82306,,Drame,Grande-Bretagne,,,,156,"
                Diaphana","
                            Week-end Royal",https://www.jpbox-office.com/fichfilm.php?id=12897&view=2
,,,  23/08/2023,"
                                  1h 58min                            ",82375,,Horreur,Etats-Unis,,,,267,"
                Universal","
                            Le Dernier Voyage du Demeter",https://www.jpbox-office.com/fichfilm.php?id=22843&view=2
"
                            Robin Williams,
                            Sam Neill",,James Horner,  15/03/2000,"
                                  2h 12min                            ",82272,,Science Fiction,Etats-Unis,,"
                                    Chris Columbus",,-,"
                Columbia","
                            L'Homme bicentenaire",https://www.jpbox-office.com/fichfilm.php?id=2864&view=2
,? $,,  13/07/2005,"
                                  2h 00min                            ",82424,,Aventure - Action,Chine,,,,179,"
                Metropolitan","
                            New Police Story",https://www.jpbox-office.com/fichfilm.php?id=877&view=2
"
                            Robin Williams,
                            Sam Neill",90 000 000 $,James Horner,  15/03/2000,"
                                  2h 12min                            ",82272,,Science Fiction,Etats-Unis,,"
                                    Chris Columbus",,-,"
                Columbia","
                            L'Homme bicentenaire",https://www.jpbox-office.com/fichfilm.php?id=2864&view=2
,45 000 000 $,,  23/08/2023,"
                                  1h 58min                            ",82375,,Horreur,Etats-Unis,,,,267,"
                Universal","
                            Le Dernier Voyage du Demeter",https://www.jpbox-office.com/fichfilm.php?id=22843&view=2
"
                            Jeremy Irons",,,  27/07/2016,"
                                  2h 14min                            ",82572,,Drame,Etats-Unis,,,,192,"
                La Belle Company","
                            La Couleur de la victoire",https://www.jpbox-office.com/fichfilm.php?id=15707&view=2
"
                            Jeremy Irons",? $,,  27/07/2016,"
                                  2h 14min                            ",82572,,Drame,Etats-Unis,,,,192,"
                La Belle Company","
                            La Couleur de la victoire",https://www.jpbox-office.com/fichfilm.php?id=15707&view=2
"
                            Jeremy Renner,
                            Andy Garcia,
                            Ray Liotta",,,  26/11/2014,"
                                  1h 52min                            ",82480,,Thriller,Etats-Unis,,,,164,"
                Metropolitan","
                            Secret d'Etat",https://www.jpbox-office.com/fichfilm.php?id=14598&view=2
"
                            Jeremy Renner,
                            Andy Garcia,
                            Ray Liotta",5 000 000 $,,  26/11/2014,"
                                  1h 52min                            ",82480,,Thriller,Etats-Unis,,,,164,"
                Metropolitan","
                            Secret d'Etat",https://www.jpbox-office.com/fichfilm.php?id=14598&view=2
,? $,,  09/06/1993,"
                                  1h 27min                            ",82587,,Horreur,Etats-Unis,,,Remake,74,"
                Warner Bros.","
                            Body Snatchers",https://www.jpbox-office.com/fichfilm.php?id=4612&view=2
,7 200 000 $,,  09/03/2011,"
                                  1h 53min                            ",82602,,Drame,Grande-Bretagne,,,,121,"
                ARP Selection","
                            We Want Sex Equality",https://www.jpbox-office.com/fichfilm.php?id=12031&view=2
"
                            Rosamund Pike",7 200 000 $,,  09/03/2011,"
                                  1h 53min                            ",82602,,Drame,Grande-Bretagne,,,,121,"
                ARP Selection","
                            We Want Sex Equality",https://www.jpbox-office.com/fichfilm.php?id=12031&view=2
"
                            Forest Whitaker",? $,,  09/06/1993,"
                                  1h 27min                            ",82587,,Horreur,Etats-Unis,,,Remake,74,"
                Warner Bros.","
                            Body Snatchers",https://www.jpbox-office.com/fichfilm.php?id=4612&view=2
"
                            Joseph Gordon-Levitt,
                            Chloë Grace Moretz",,,  30/09/2009,"
                                  1h 36min                            ",82432,,Romance,Etats-Unis,,,,141,"
                20th Century Fox","
                            500 jours ensemble",https://www.jpbox-office.com/fichfilm.php?id=10912&view=2
"
                            Colin Farrell,
                            Keira Knightley",,,  08/06/2011,"
                                  1h 42min                            ",84041,,Thriller,Etats-Unis,,,,130,"
                Metropolitan","
                            London Boulevard",https://www.jpbox-office.com/fichfilm.php?id=11971&view=2
"
                            Jackie Chan",? $,,  13/07/2005,"
                                  2h 00min                            ",82424,,Aventure - Action,Chine,,,,179,"
                Metropolitan","
                            New Police Story",https://www.jpbox-office.com/fichfilm.php?id=877&view=2
"
                            Joseph Gordon-Levitt,
                            Chloë Grace Moretz",7 500 000 $,,  30/09/2009,"
                                  1h 36min                            ",82432,,Romance,Etats-Unis,,,,141,"
                20th Century Fox","
                            500 jours ensemble",https://www.jpbox-office.com/fichfilm.php?id=10912&view=2
"
                            Bill Murray",? $,,  27/02/2013,"
                                  1h 35min                            ",82306,,Drame,Grande-Bretagne,,,,156,"
                Diaphana","
                            Week-end Royal",https://www.jpbox-office.com/fichfilm.php?id=12897&view=2
"
                            Colin Farrell,
                            Keira Knightley",? $,,  08/06/2011,"
                                  1h 42min                            ",84041,,Thriller,Etats-Unis,,,,130,"
                Metropolitan","
                            London Boulevard",https://www.jpbox-office.com/fichfilm.php?id=11971&view=2
"
                            Cate Blanchett,
                            Judi Dench",,,  28/02/2007,"
                                  1h 38min                            ",82448,,Drame,Etats-Unis,,,,,"
                20th Century Fox","
                            Chronique d'un scandale",https://www.jpbox-office.com/fichfilm.php?id=494&view=2
"
                            Cate Blanchett,
                            Judi Dench",? $,,  28/02/2007,"
                                  1h 38min                            ",82448,,Drame,Etats-Unis,,,,,"
                20th Century Fox","
                            Chronique d'un scandale",https://www.jpbox-office.com/fichfilm.php?id=494&view=2
"
                            Nicole Kidman,
                            Anne Heche",20 000 000 $,Alexandre Desplat,  03/11/2004,"
                                  1h 40min                            ",84065,,Drame,Etats-Unis,,,,126,"
                Metropolitan","
                            Birth",https://www.jpbox-office.com/fichfilm.php?id=1210&view=2
"
                            Tim Robbins,
                            Patricia Arquette",,,  12/09/2001,"
                                  1h 36min                            ",83238,,Comédie,Etats-Unis,,"
                                    Michel Gondry",,152,"
                Bac Films","
                            Human Nature",https://www.jpbox-office.com/fichfilm.php?id=2230&view=2
"
                            Nicolas Cage",,,  24/07/2013,"
                                  1h 36min                            ",82858,,Thriller,Etats-Unis,,"
                                    Simon West",,160,"
                Metropolitan","
                            12 Heures",https://www.jpbox-office.com/fichfilm.php?id=12993&view=2
"
                            Nicolas Cage,
                            Elle Fanning,
                            Samuel L. Jackson,
                            Charlize Theron",,,  09/12/2009,"
                                  1h 34min                            ",82811,,Animation,Etats-Unis,,,,445,"
                SND","
                            Astro Boy",https://www.jpbox-office.com/fichfilm.php?id=10605&view=2
"
                            Nicolas Cage",35 000 000 $,,  24/07/2013,"
                                  1h 36min                            ",82858,,Thriller,Etats-Unis,,"
                                    Simon West",,160,"
                Metropolitan","
                            12 Heures",https://www.jpbox-office.com/fichfilm.php?id=12993&view=2
"
                            Laure Calamy,
                            Romain Duris",,,  03/10/2018,"
                                  1h 38min                            ",83239,,Drame,France,,,,163,"
                Haut et Court","
                            Nos batailles",https://www.jpbox-office.com/fichfilm.php?id=18330&view=2
"
                            Nicolas Cage,
                            Elle Fanning,
                            Samuel L. Jackson,
                            Charlize Theron",65 000 000 $,,  09/12/2009,"
                                  1h 34min                            ",82811,,Animation,Etats-Unis,,,,445,"
                SND","
                            Astro Boy",https://www.jpbox-office.com/fichfilm.php?id=10605&view=2
"
                            Tim Robbins,
                            Patricia Arquette",8 560 000 $,,  12/09/2001,"
                                  1h 36min                            ",83238,,Comédie,Etats-Unis,,"
                                    Michel Gondry",,152,"
                Bac Films","
                            Human Nature",https://www.jpbox-office.com/fichfilm.php?id=2230&view=2
"
                            Laure Calamy,
                            Romain Duris",? €,,  03/10/2018,"
                                  1h 38min                            ",83239,,Drame,France,,,,163,"
                Haut et Court","
                            Nos batailles",https://www.jpbox-office.com/fichfilm.php?id=18330&view=2
"
                            Rose Byrne,
                            Mark Wahlberg",,,  27/02/2019,"
                                  1h 59min                            ",83403,,Comédie,Etats-Unis,,,,224,"
                Paramount","
                            Apprentis parents",https://www.jpbox-office.com/fichfilm.php?id=18633&view=2
"
                            Liam Neeson",,,  23/02/2022,"
                                  1h 48min                            ",83546,,Thriller,Etats-Unis,,,,291,"
                Metropolitan","
                            Blacklight",https://www.jpbox-office.com/fichfilm.php?id=21801&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Alan Rickman",,John Williams,  12/09/2018,"
                                  2h 22min                            ",83491,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,299,"
                Warner Bros.","
                            Harry Potter à l'école des sorciers (Rep. 2018)",https://www.jpbox-office.com/fichfilm.php?id=18514&view=2
"
                            Liam Neeson",43 000 000 $,,  23/02/2022,"
                                  1h 48min                            ",83546,,Thriller,Etats-Unis,,,,291,"
                Metropolitan","
                            Blacklight",https://www.jpbox-office.com/fichfilm.php?id=21801&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Alan Rickman",138241,John Williams,  12/09/2018,"
                                  2h 22min                            ",83491,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,299,"
                Warner Bros.","
                            Harry Potter à l'école des sorciers (Rep. 2018)",https://www.jpbox-office.com/fichfilm.php?id=18514&view=2
"
                            Rose Byrne,
                            Mark Wahlberg",48 000 000 $,,  27/02/2019,"
                                  1h 59min                            ",83403,,Comédie,Etats-Unis,,,,224,"
                Paramount","
                            Apprentis parents",https://www.jpbox-office.com/fichfilm.php?id=18633&view=2
